program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
DynamiteExample,1,openrouter,openai/gpt-5-mini,2026-03-16T05:11:44.061091,2026-03-16T05:12:09.590124,25.529033,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],YES,,2999,
DynamiteExampleX4,1,openrouter,openai/gpt-5-mini,2026-03-16T05:12:13.749240,2026-03-16T05:12:43.986338,30.237098,"vars=['n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a), ReLU(1 - a)]","[ReLU(n - a), ReLU(1 - a)]",YES,,3893,
MultDisj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:12:47.603625,2026-03-16T05:13:24.210733,36.607108,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + 1 - a) + ReLU(n + 1 - b) + ReLU(m + 1 - a) + ReLU(m + 1 - b)],[ReLU(n + 1 - a) + ReLU(n + 1 - b) + ReLU(m + 1 - a) + ReLU(m + 1 - b)],YES,,4570,
Poly2VarsCondBreak,1,openrouter,openai/gpt-5-mini,2026-03-16T05:13:27.548765,2026-03-16T05:13:35.551124,8.002359,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],NO,"{
  ""m"": 4,
  ""n"": 3
}",2329,
Poly2VarsCondBreak,2,openrouter,openai/gpt-5-mini,2026-03-16T05:13:38.756420,2026-03-16T05:14:01.588456,22.832036,"vars=['n', 'm'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(1*n + -1*a + 1)],[ReLU(1*n + -1*a + 1)],YES,,3340,
PolyClosingIn,1,openrouter,openai/gpt-5-mini,2026-03-16T05:14:04.659123,2026-03-16T05:14:43.654495,38.995372,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - 2*a + 2)],[ReLU(m - 2*a + 2)],YES,,4085,
Square2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:14:47.635736,2026-03-16T05:15:16.956513,29.320777,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a + 1) + ReLU(m - b + 1)],[ReLU(n - a + 1) + ReLU(m - b + 1)],YES,,3218,
SquareDisj2Vars,1,openrouter,openai/gpt-5-mini,2026-03-16T05:15:20.737287,2026-03-16T05:15:55.880992,35.143705,"vars=['n', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1*n - 1*b), ReLU(1*n - 1*a)]","[ReLU(1*n - 1*b), ReLU(1*n - 1*a)]",NO,"{
  ""n"": 0
}",3564,
SquareDisj2Vars,2,openrouter,openai/gpt-5-mini,2026-03-16T05:15:59.496208,2026-03-16T05:16:25.173020,25.676812,"vars=['n', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n + 1 - a), ReLU(n + 1 - b)]","[ReLU(n + 1 - a), ReLU(n + 1 - b)]",YES,,3217,
TwoPol4VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:16:28.439456,2026-03-16T05:16:48.312195,19.872739,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a)],[ReLU(n - a)],YES,,2888,
TwoPol4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-16T05:16:53.502604,2026-03-16T05:17:24.194473,30.691869,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a), ReLU(m - b)]","[ReLU(n - a), ReLU(m - b)]",YES,,3229,
AliasDarteFeautrierGonnordSAS2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:17:28.051422,2026-03-16T05:17:52.990984,24.939562,"vars=['x', 'y', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3252,
AliasDarteFeautrierGonnordSAS2010Fig1,2,openrouter,openai/gpt-5-mini,2026-03-16T05:17:56.919271,2026-03-16T05:18:22.491459,25.572188,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3918,
AliasDarteFeautrierGonnordSAS2010Fig1,3,openrouter,openai/gpt-5-mini,2026-03-16T05:18:25.969369,2026-03-16T05:18:46.959328,20.989959,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y)]","[ReLU(x + 1), ReLU(y)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3951,
AliasDarteFeautrierGonnordSAS2010Fig1,4,openrouter,openai/gpt-5-mini,2026-03-16T05:18:50.614130,2026-03-16T05:19:20.232917,29.618787,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",4062,
AliasDarteFeautrierGonnordSAS2010Fig1,5,openrouter,openai/gpt-5-mini,2026-03-16T05:19:24.078755,2026-03-16T05:19:50.115748,26.036993,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1*x + 1), ReLU(1*y + 1)]","[ReLU(1*x + 1), ReLU(1*y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",4015,
AliasDarteFeautrierGonnordSAS2010Fig1,6,openrouter,openai/gpt-5-mini,2026-03-16T05:19:53.925699,2026-03-16T05:20:10.597611,16.671912,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y+1)]","[ReLU(x+1), ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3636,
AliasDarteFeautrierGonnordSAS2010Fig1,7,openrouter,openai/gpt-5-mini,2026-03-16T05:20:15.885785,2026-03-16T05:20:42.232985,26.3472,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y+1)]","[ReLU(x+1), ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3373,
AliasDarteFeautrierGonnordSAS2010Fig1,8,openrouter,openai/gpt-5-mini,2026-03-16T05:20:46.120434,2026-03-16T05:21:10.283283,24.162849,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y)]","[ReLU(x+1), ReLU(y)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",4102,
AliasDarteFeautrierGonnordSAS2010Fig1,9,openrouter,openai/gpt-5-mini,2026-03-16T05:21:14.106157,2026-03-16T05:21:38.051337,23.94518,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y+1)]","[ReLU(x+1), ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3695,
AliasDarteFeautrierGonnordSAS2010Fig1,10,openrouter,openai/gpt-5-mini,2026-03-16T05:21:42.057031,2026-03-16T05:22:17.880642,35.823611,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y+1)]","[ReLU(x+1), ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",4631,
AliasDarteFeautrierGonnordSAS2010cousot9,1,openrouter,openai/gpt-5-mini,2026-03-16T05:22:18.721063,2026-03-16T05:22:29.789795,11.068732,"vars=['i', 'j', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i), ReLU(j)]","[ReLU(i), ReLU(j)]",YES,,2517,
AliasDarteFeautrierGonnordSAS2010easy1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:22:33.137019,2026-03-16T05:22:43.499523,10.362504,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(40 - x)],[ReLU(40 - x)],YES,,2149,
AliasDarteFeautrierGonnordSAS2010easy22,1,openrouter,openai/gpt-5-mini,2026-03-16T05:22:46.798818,2026-03-16T05:22:55.834872,9.036054,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(z)],[ReLU(z)],YES,,1904,
AliasDarteFeautrierGonnordSAS2010loops,1,openrouter,openai/gpt-5-mini,2026-03-16T05:23:00.036275,2026-03-16T05:23:28.050333,28.014058,"vars=['x', 'y', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(x - y)]","[ReLU(x + 1), ReLU(x - y)]",YES,,3530,
AliasDarteFeautrierGonnordSAS2010nestedLoop1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:23:32.582699,2026-03-16T05:24:06.231513,33.648814,"vars=['i', 'j', 'k', 'm', 'n', 'N'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(m - j), ReLU(N - 1 - k)]","[ReLU(n - i), ReLU(m - j), ReLU(N - 1 - k)]",YES,,4299,
AliasDarteFeautrierGonnordSAS2010random1d2,1,openrouter,openai/gpt-5-mini,2026-03-16T05:24:10.142461,2026-03-16T05:24:19.757656,9.615195,"vars=['a', 'x', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - x)],[ReLU(m - x)],YES,,2275,
AliasDarteFeautrierGonnordSAS2010random2d,1,openrouter,openai/gpt-5-mini,2026-03-16T05:24:23.028372,2026-03-16T05:24:37.368925,14.340553,"vars=['r', 'x', 'y', 'i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(10 - i)],[ReLU(10 - i)],YES,,2687,
AliasDarteFeautrierGonnordSAS2010speedpldi2,1,openrouter,openai/gpt-5-mini,2026-03-16T05:24:42.462773,2026-03-16T05:25:06.302853,23.84008,"vars=['n', 'm', 'v2'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(v), ReLU(v2)]","[ReLU(v), ReLU(v2)]",YES,,3256,
AliasDarteFeautrierGonnordSAS2010speedpldi3,1,openrouter,openai/gpt-5-mini,2026-03-16T05:25:09.553859,2026-03-16T05:25:30.732379,21.17852,"vars=['n', 'm', 'j'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(m - j)]","[ReLU(n - i), ReLU(m - j)]",YES,,3680,
AliasDarteFeautrierGonnordSAS2010speedpldi4,1,openrouter,openai/gpt-5-mini,2026-03-16T05:25:34.069024,2026-03-16T05:25:46.076538,12.007514,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(i)],[ReLU(i)],YES,,2435,
AliasDarteFeautrierGonnordSAS2010wcet2,1,openrouter,openai/gpt-5-mini,2026-03-16T05:25:50.959195,2026-03-16T05:26:10.663915,19.70472,"vars=['i', 'j'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(5 - i), ReLU(10 - j)]","[ReLU(5 - i), ReLU(10 - j)]",YES,,2649,
AliasDarteFeautrierGonnordSAS2010while2,1,openrouter,openai/gpt-5-mini,2026-03-16T05:26:14.165473,2026-03-16T05:26:35.039936,20.874463,"vars=['n', 'j'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i), ReLU(j)]","[ReLU(i), ReLU(j)]",YES,,2855,
AliasDarteFeautrierGonnordSAS2010wise,1,openrouter,openai/gpt-5-mini,2026-03-16T05:26:39.009326,2026-03-16T05:26:55.794742,16.785416,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x - y - 2) + ReLU(y - x - 2)],[ReLU(x - y - 2) + ReLU(y - x - 2)],YES,,2572,
AveryFLOPS2006Table1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:26:59.398337,2026-03-16T05:28:23.683467,84.28513,"vars=['x', 'y', 'i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i), ReLU(y - i)]","[ReLU(i), ReLU(y - i)]",YES,,8064,
BradleyMannaSipmaCAV2005Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:28:27.540479,2026-03-16T05:28:37.402311,9.861832,"vars=['y1', 'y2'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(y1 - y2) + y2],[ReLU(y1 - y2) + y2],YES,,2590,
BrockschmidtCookFuhsCAV2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:28:40.676456,2026-03-16T05:29:00.277838,19.601382,"vars=['i', 'j', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(i - j + 1)]","[ReLU(n - i), ReLU(i - j + 1)]",YES,,3065,
BrockschmidtCookFuhsCAV2013Fig9a,1,openrouter,openai/gpt-5-mini,2026-03-16T05:29:07.341730,2026-03-16T05:29:31.304530,23.9628,"vars=['k', 'i', 'j', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(i - j + 1)]","[ReLU(n - i), ReLU(i - j + 1)]",YES,,3884,
BrockschmidtCookFuhsCAV2013Introduction,1,openrouter,openai/gpt-5-mini,2026-03-16T05:29:34.767817,2026-03-16T05:29:43.596335,8.828518,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,2203,
ChawdharyCookGulwaniSagivYangESOP2008easy1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:29:46.964355,2026-03-16T05:29:54.439394,7.475039,"vars=['z', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(40 - x)],[ReLU(40 - x)],YES,,2130,
ChawdharyCookGulwaniSagivYangESOP2008easy2,1,openrouter,openai/gpt-5-mini,2026-03-16T05:29:57.644892,2026-03-16T05:30:14.187224,16.542332,"vars=['z', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(z)],[ReLU(z)],YES,,2395,
ChawdharyCookGulwaniSagivYangESOP2008random1d,1,openrouter,openai/gpt-5-mini,2026-03-16T05:30:19.355717,2026-03-16T05:30:29.472869,10.117152,"vars=['a', 'x', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - x + 1)],[ReLU(m - x + 1)],YES,,2216,
ChawdharyCookGulwaniSagivYangESOP2008random2d,1,openrouter,openai/gpt-5-mini,2026-03-16T05:30:32.830053,2026-03-16T05:30:56.512685,23.682632,"vars=['r', 'x', 'y', 'i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(N - i)],[ReLU(N - i)],YES,,3051,
ChenFlurMukhopadhyaySAS2012Ex220,1,openrouter,openai/gpt-5-mini,2026-03-16T05:30:59.698032,2026-03-16T05:31:47.060389,47.362357,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x - 1)],[ReLU(x - 1)],YES,,4977,
ChenFlurMukhopadhyaySAS2012Ex301,1,openrouter,openai/gpt-5-mini,2026-03-16T05:31:50.982826,2026-03-16T05:32:30.844059,39.861233,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(y - z), ReLU(z - x)]","[ReLU(y - z), ReLU(z - x)]",YES,,4848,
CookSeeZulegerTACAS2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:32:35.684513,2026-03-16T05:32:47.309014,11.624501,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x) + ReLU(y)],[ReLU(x) + ReLU(y)],YES,,2434,
CookSeeZulegerTACAS2013Fig7a,1,openrouter,openai/gpt-5-mini,2026-03-16T05:32:50.938881,2026-03-16T05:33:04.925159,13.986278,"vars=['x', 'y', 'd', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,2449,
CookSeeZulegerTACAS2013Fig7b,1,openrouter,openai/gpt-5-mini,2026-03-16T05:33:08.845542,2026-03-16T05:34:21.055139,72.209597,"vars=['x', 'y', 'z', 'a', 'b', 'c', 'd'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(y), ReLU(z), ReLU(x)]","[ReLU(y), ReLU(z), ReLU(x)]",YES,,7090,
CookSeeZulegerTACAS2013Fig8amodified,1,openrouter,openai/gpt-5-mini,2026-03-16T05:34:25.019501,2026-03-16T05:34:32.899071,7.87957,"vars=['k', 'x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x - k) + ReLU(k - x)],[ReLU(x - k) + ReLU(k - x)],YES,,1998,
CookSeeZulegerTACAS2013Fig8a,1,openrouter,openai/gpt-5-mini,2026-03-16T05:34:36.669920,2026-03-16T05:34:52.188322,15.518402,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x) + ReLU(-1*x)],[ReLU(x) + ReLU(-1*x)],YES,,2244,
CookSeeZulegerTACAS2013Fig8b,1,openrouter,openai/gpt-5-mini,2026-03-16T05:34:55.964590,2026-03-16T05:35:08.908152,12.943562,"vars=['x', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x - m), ReLU(m - x)]","[ReLU(x - m), ReLU(m - x)]",YES,,2563,
GopanRepsCAV2006Fig1a,1,openrouter,openai/gpt-5-mini,2026-03-16T05:35:12.080307,2026-03-16T05:35:37.559423,25.479116,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(51 - x), ReLU(y + 1)]","[ReLU(51 - x), ReLU(y + 1)]",YES,,3459,
HarrisLalNoriRajamaniSAS2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:35:40.800183,2026-03-16T05:36:01.685157,20.884974,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",3222,
HarrisLalNoriRajamaniSAS2010Fig1,2,openrouter,openai/gpt-5-mini,2026-03-16T05:36:05.688399,2026-03-16T05:36:41.013991,35.325592,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + k), ReLU(y)]","[ReLU(x + k), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",5372,
HarrisLalNoriRajamaniSAS2010Fig1,3,openrouter,openai/gpt-5-mini,2026-03-16T05:36:45.052447,2026-03-16T05:37:12.590733,27.538286,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 2
}",4575,
HarrisLalNoriRajamaniSAS2010Fig1,4,openrouter,openai/gpt-5-mini,2026-03-16T05:37:16.575877,2026-03-16T05:38:24.216470,67.640593,"vars=['a', 'x', 'y', 'k', 'b', 'c', 'z'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y), ReLU(k - z)]","[ReLU(x), ReLU(y), ReLU(k - z)]",YES,,7236,
HarrisLalNoriRajamaniSAS2010Fig3,1,openrouter,openai/gpt-5-mini,2026-03-16T05:38:31.129439,2026-03-16T05:38:38.003394,6.873955,"vars=['x', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,1906,
HeizmannHoenickeLeikePodelskiATVA2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:38:41.471458,2026-03-16T05:39:10.318007,28.846549,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)+0*ReLU(y)],[ReLU(x)+0*ReLU(y)],YES,,3169,
HeizmannHoenickeLeikePodelskiATVA2013Fig4,1,openrouter,openai/gpt-5-mini,2026-03-16T05:39:15.301054,2026-03-16T05:39:32.314458,17.013404,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x - y + 1)],[ReLU(x - y + 1)],YES,,2755,
HeizmannHoenickeLeikePodelskiATVA2013Fig5,1,openrouter,openai/gpt-5-mini,2026-03-16T05:39:36.068607,2026-03-16T05:39:52.190262,16.121655,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],YES,,2660,
HeizmannHoenickeLeikePodelskiATVA2013Fig6,1,openrouter,openai/gpt-5-mini,2026-03-16T05:39:55.804297,2026-03-16T05:40:22.860335,27.056038,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x + 1)],[ReLU(x + 1)],YES,,3024,
KroeningSharyginaTsitovichWintersteigerCAV2010Ex,1,openrouter,openai/gpt-5-mini,2026-03-16T05:40:26.581363,2026-03-16T05:40:38.059119,11.477756,"vars=['i', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(255 - 1*i)],[ReLU(255 - 1*i)],YES,,2433,
KroeningSharyginaTsitovichWintersteigerCAV2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-16T05:40:41.348178,2026-03-16T05:41:38.073588,56.72541,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(-1*x + 255 + 1*d), ReLU(1 - x)]","[ReLU(-1*x + 255 + 1*d), ReLU(1 - x)]",NO,"{
  ""x"": 3
}",6111,
KroeningSharyginaTsitovichWintersteigerCAV2010Fig1,2,openrouter,openai/gpt-5-mini,2026-03-16T05:41:41.467858,2026-03-16T05:43:03.097358,81.6295,"vars=['x'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(255 - x), ReLU(x)]","[ReLU(255 - x), ReLU(x)]",NO,"{
  ""x"": 253
}",9559,
