program_name,parsed_rf,check_status
reccounter1,"[ReLU(x - a + 1), ReLU(rc)]",YES
reccounter3,"[ReLU(x - a + 1), ReLU(rc)]",YES
DivMinus,"[ReLU(x - y), ReLU(x)]",YES
GCD3,"[ReLU(y), ReLU(x1), ReLU(x)]",YES
GCD4,"[ReLU(y - 1), ReLU(x1)]",YES
IntPath,[ReLU(i - 11)],YES
Log,"[ReLU(x - 1), ReLU(x1 - 1)]",YES
LogAG,"[ReLU(x-1), ReLU(x1-1)]",YES
McCarthyIterative,"[ReLU(11*c + 101 - x), ReLU(101 - x), ReLU(x - 101)]",YES
MinusBuiltIn,[ReLU(x - y)],YES
MinusUserDefined,"[ReLU(1*x), ReLU(-1*y)]",YES
Nested2,"[ReLU(10 - i), ReLU(12 - j)]",YES
PastaA1,"[ReLU(x-1), ReLU(x-y)]",YES
PastaA10,[ReLU(x - y) + ReLU(y - x)],YES
PastaA4,[ReLU(x - y)],YES
PastaA7,[ReLU(x - y) + ReLU(x - z)],YES
PastaB1,[ReLU(x - y)],YES
PastaB14,"[ReLU(x), ReLU(y)]",YES
PastaB15,"[ReLU(x - z), ReLU(y - z)]",YES
PastaB16,"[ReLU(x), ReLU(y)]",YES
PastaB17,"[ReLU(x - z), ReLU(y - z)]",YES
PastaB2,[ReLU(x - y)],YES
PastaB4,[ReLU(x - y)],YES
PastaB6,[ReLU(x)],YES
PastaB7,[ReLU(x - z) + ReLU(y - z)],YES
PastaC3,"[ReLU(y - x), ReLU(y - z)]",YES
PastaC7,[ReLU(k - j)],YES
PastaC9,"[ReLU(x), ReLU(y)]",YES
Sequence,"[ReLU(100 - i), ReLU(21 - j)]",YES
WhileDecr,[ReLU(i - 5)],YES
a01,"[ReLU(x - 1), ReLU(x - y)]",YES
a04,[ReLU(x - y)],YES
a05,[ReLU(x - y)],YES
a06,[ReLU(x - y - z)],YES
a07,[ReLU(x - y) + ReLU(x - z)],YES
a08,[ReLU(x - y)],YES
a09assume,[ReLU(x - z + 1)],YES
a10,[ReLU(x - y) + ReLU(y - x)],YES
b01,[ReLU(x - y)],YES
b02,[ReLU(x - y)],YES
b03noinvassume,[ReLU(2147483647 - y)],YES
b03assume,[ReLU(x - y)],YES
b04,[ReLU(x - y)],YES
b05,[ReLU(x)],YES
b06,[ReLU(x + y)],YES
b07,[ReLU(x - z) + ReLU(y - z)],YES
b09noinvassume,[ReLU(x)],YES
b09assume,[ReLU(x)],YES
b10,[ReLU(x + y)],YES
b11,[ReLU(x + y)],YES
b12,[ReLU(x)+ReLU(y)],YES
b13,[ReLU(x - z) + ReLU(y - z)],YES
b14,[ReLU(y)],YES
b15,"[ReLU(x - z), ReLU(y - z)]",YES
b16,"[ReLU(x), ReLU(y)]",YES
b17,"[ReLU(x - z), ReLU(y - z)]",YES
b18,"[ReLU(x), ReLU(y)]",YES
c01noinv,"[ReLU(x + 1), ReLU(1073741824 - y)]",YES
c01assume,"[ReLU(x+1), ReLU(1073741824 - y)]",YES
c02,"[ReLU(x + 1), ReLU(x - y)]",YES
c03,[ReLU(y - x) + ReLU(2147483647 - z)],YES
c07,[ReLU(k - -2147483647)],YES
c08,"[ReLU(i+1), ReLU(i-j)]",YES
ex3a,[ReLU(100 - x)],YES
ex3b,[ReLU(y - x)],YES
javaAG313,[ReLU(x)],YES
javaBreak,[ReLU(11 - i)],YES
javaContinue1,[ReLU(-1*i + 20)],YES
javaNested,"[ReLU(-1*i + 10), ReLU(-1*j + 12)]",YES
DivMinus2,"[ReLU(x - y1 + 1), ReLU(y1) + ReLU(-y1)]",YES
Hardbotht,"[ReLU(r - b - p - d), ReLU(d - 1), ReLU(a - q - r + p - 1)]",YES
Hard2botht,"[ReLU(a)+ReLU(-a)+ReLU(b)+ReLU(-b), ReLU(p)+ReLU(-p)+ReLU(d)+ReLU(-d), ReLU(q)+ReLU(-q)+ReLU(r)+ReLU(-r)]",YES
Benghazinondet2,"[ReLU(1 - d) + ReLU(1 - e), ReLU(x + 1)]",YES
