program_name,parsed_rf,check_status
BradleyMannaSipmaCAV2005Fig1,[ReLU(y1 + y2 - 1)],YES
BrockschmidtCookFuhsCAV2013Fig1,"[ReLU(n - i), ReLU(i + 1 - j)]",YES
BrockschmidtCookFuhsCAV2013Fig9a,"[ReLU(n - i), ReLU(i + k - j)]",YES
BrockschmidtCookFuhsCAV2013Introduction,[ReLU(x)],YES
ChawdharyCookGulwaniSagivYangESOP2008easy1,[ReLU(40 - x)],YES
ChawdharyCookGulwaniSagivYangESOP2008easy2,[ReLU(z)],YES
ChawdharyCookGulwaniSagivYangESOP2008random1d,[ReLU(m - x)],YES
ChawdharyCookGulwaniSagivYangESOP2008random2d,[ReLU(10 - i)],YES
ChenFlurMukhopadhyaySAS2012Ex220,[ReLU(x - 1)],YES
ChenFlurMukhopadhyaySAS2012Ex301,"[ReLU(y - z), ReLU(z - x + 1)]",YES
CookSeeZulegerTACAS2013Fig1,[ReLU(x) + ReLU(y)],YES
CookSeeZulegerTACAS2013Fig7a,[ReLU(x)],YES
CookSeeZulegerTACAS2013Fig7b,"[ReLU(y), ReLU(z), ReLU(x)]",YES
CookSeeZulegerTACAS2013Fig8amodified,[ReLU(x - k) + ReLU(k - x)],YES
CookSeeZulegerTACAS2013Fig8a,[ReLU(x) + ReLU(-x)],YES
CookSeeZulegerTACAS2013Fig8b,"[ReLU(x - m), ReLU(m - x)]",YES
GopanRepsCAV2006Fig1a,"[ReLU(100 - x - y), ReLU(y + 1)]",YES
HarrisLalNoriRajamaniSAS2010Fig3,[ReLU(x)],YES
HeizmannHoenickeLeikePodelskiATVA2013Fig1,[ReLU(x)],YES
HeizmannHoenickeLeikePodelskiATVA2013Fig4,[ReLU(x - 22)],YES
HeizmannHoenickeLeikePodelskiATVA2013Fig5,[ReLU(x)],YES
HeizmannHoenickeLeikePodelskiATVA2013Fig6,[ReLU(x) + ReLU(z - 1)],YES
KroeningSharyginaTsitovichWintersteigerCAV2010Ex,[ReLU(255 - i)],YES
LeikeHeizmannTACAS2014Ex1,[ReLU(q)],YES
LeikeHeizmannTACAS2014Ex9,[ReLU(p + q - 1)],YES
LeikeHeizmannWST2014Ex9,[ReLU(x)],YES
PodelskiRybalchenkoTACAS2011Fig1,[ReLU(y + 1)],YES
PodelskiRybalchenkoTACAS2011Fig2,"[ReLU(x), ReLU(x - y)]",YES
PodelskiRybalchenkoTACAS2011Fig4,"[ReLU(x), ReLU(y)]",YES
UrbanWST2013Fig2modified1000,"[ReLU(11 - x), ReLU(y - 1)]",YES
UrbanWST2013Fig2,"[ReLU(10 - x), ReLU(y - 1)]",YES
aviad,[ReLU(a - 1)],YES
genady,[ReLU(i - j)],YES
B2Nested1,"[ReLU(y + 65535), ReLU(x + y + 1)]",YES
Bangalore2,[ReLU(x)],YES
Bangalorev4,[ReLU(x + 1)],YES
Cairo,[ReLU(x)],YES
Cairostep21,[ReLU(x)],YES
Copenhagen,[ReLU(x + y)],YES
Copenhagendisj2,[ ReLU(x) + ReLU(y) ],YES
Gothenburg1,[ReLU(x + 1) + ReLU(y + 1)],YES
Gothenburgv21,[ReLU(x + y + 1)],YES
LobnyaBooleanReordered2,[ReLU(x + 1)],YES
Mysore2,[ReLU(x + c)],YES
Nyala2lex2,"[ReLU(x), ReLU(y)]",YES
Parallel,"[ReLU(x + 1), ReLU(y + 1)]",YES
Pure2Phase1,"[ReLU(y), ReLU(z)]",YES
Pure3Phase1,"[ReLU(z + 65536), ReLU(x)]",YES
Singapore2,"[ReLU(y + 1), ReLU(x - 1)]",YES
Stockholm1,[ReLU(x + 1)],YES
TelAvivAmirMinimum,"[ReLU(1 - n), ReLU(y)]",YES
Thun2,"[ReLU(-y), ReLU(x + y + 1)]",YES
Waldkirch,[ReLU(x)],YES
WhileFalse,[ReLU(1)],YES
easy1,[ReLU(40 - x)],YES
easy22,[ReLU(z)],YES
Bresenham1botht,[ReLU(k - c)],YES
Cohencu1botht,[ReLU(k - 6 * n - 6)],YES
Cohencu2botht,[ReLU(k - n)],YES
Cohencu3botht,[ReLU(k - n)],YES
Cohencu4botht,"[ReLU(k - 2*n - 2*c), ReLU(z - y)]",YES
Cohencu5botht,[ ReLU(k - c - z) ],YES
Cohencu6botht,[ReLU(a + 1 - n)],YES
Cohencu7botht,[ReLU(2000000000 - x - y)],YES
Dijkstra1botht,"[ReLU(q), ReLU(r - 2 * p - q)]",YES
Dijkstra2botht,"[ReLU(k + 1 - c), ReLU(q + 1)]",YES
Dijkstra3botht,"[ReLU(q + 1), ReLU(k - c)]",YES
Dijkstra4botht,"[ReLU(q), ReLU(k - c)]",YES
Dijkstra5botht,"[ReLU(k - c + 1), ReLU(q)]",YES
Dijkstra6botht,"[ReLU(q), ReLU(p)]",YES
Egcdbotht,"[ ReLU(a + b), ReLU(p + q + r + s) ]",YES
Egcd2botht,"[ReLU(b), ReLU(c)]",YES
Fermat1botht,"[ ReLU(kk - u*u + v*v + 2*u - 2*v + 4*A + 4*r - cc), ReLU(u - v), ReLU(v - u) ]",YES
Freire1botht,[ReLU(k + a - c + 1 - r)],YES
Geo1botht,[ReLU(k - c - x + y - 1)],YES
Geo2botht,[ReLU(k - 1 - x - y - c)],YES
Geo3botht,[ReLU(k - c)],YES
Mannadivbotht,[ReLU(c)],YES
Prod4brbotht,[ReLU(a + b)],YES
Ps2botht,"[ReLU(k + 1 - c - y), ReLU(1 - x)]",YES
Ps4botht,[ReLU(k - c)],YES
Ps5botht,[ReLU(k - c - y)],YES
Ps6botht,[ReLU(k - c)],YES
javaLogBuiltIn,[ReLU(x - 1)],YES
reccounter1,"[ReLU(x + 1 - a), ReLU(rc)]",YES
reccounter3,"[ReLU(x + 1 - a), ReLU(rc)]",YES
DivMinus,[ReLU(x)],YES
GCD4,"[ReLU(x + y), ReLU(y - 1), ReLU(x1)]",YES
IntPath,[ReLU(1)],YES
Log,"[ReLU(x - 1), ReLU(x1 - 1)]",YES
MinusBuiltIn,[ReLU(x - y)],YES
MinusUserDefined,"[ReLU(-y), ReLU(x)]",YES
Nested2,"[ReLU(10 - i), ReLU(12 - j)]",YES
PastaA1,"[ReLU(x), ReLU(x - y)]",YES
PastaA10,[ ReLU(x - y) + ReLU(y - x) ],YES
PastaA4,[ReLU(x - y)],YES
PastaA7,[ReLU(x - y) + ReLU(x - z)],YES
PastaB1,[ReLU(x - y)],YES
PastaB14,"[ReLU(x), ReLU(y)]",YES
PastaB15,"[ReLU(x - z + 1), ReLU(y - z)]",YES
PastaB16,"[ReLU(x), ReLU(y)]",YES
PastaB17,"[ReLU(x - z), ReLU(y - z)]",YES
PastaB2,[ReLU(x - y)],YES
PastaB4,[ReLU(x - y)],YES
PastaB6,[ReLU(x)],YES
PastaB7,[ReLU(x - z)],YES
PastaC3,"[ReLU(y - z), ReLU(y - x)]",YES
PastaC7,[ReLU(k - j)],YES
PastaC9,"[ReLU(x), ReLU(y)]",YES
Sequence,"[ReLU(100 - i), ReLU(21 - j)]",YES
WhileDecr,[ReLU(i - 5)],YES
a01,"[ReLU(x), ReLU(x - y)]",YES
a04,[ReLU(x - y)],YES
a05,[ReLU(x - y)],YES
a06,[ReLU(x - y - z)],YES
a07,[ ReLU(x - y) + ReLU(x - z) ],YES
a08,[ReLU(x - y)],YES
a09assume,[ReLU(x - z + 1)],YES
a10,"[ReLU(x - y), ReLU(y - x)]",YES
b01,[ReLU(x - y)],YES
b02,[ReLU(x - y)],YES
b03noinvassume,[ReLU(x - y)],YES
b03assume,[ReLU(x - y)],YES
b04,[ReLU(x - y)],YES
b05,[ReLU(x)],YES
b06,[ReLU(x)],YES
b07,[ReLU(x - z)],YES
b09noinvassume,[ReLU(x)],YES
b09assume,[ReLU(x)],YES
b10,[ReLU(x + y)],YES
b11,[ReLU(x + y)],YES
b12,[ ReLU(x) + ReLU(y) ],YES
b13,[ReLU(x - z) + ReLU(y - z)],YES
b14,[ReLU(y)],YES
b15,[ReLU(y - z)],YES
b16,"[ReLU(x), ReLU(y)]",YES
b17,"[ReLU(x - z), ReLU(y - z)]",YES
b18,[ReLU(x) + ReLU(y)],YES
c01noinv,"[ReLU(x), ReLU(1073741824 - y)]",YES
c01assume,"[ReLU(x), ReLU(1073741824 - y)]",YES
c02,[ReLU(x - y + 1)],YES
c03,[ReLU(y - x - z + 2147483647)],YES
c07,[ReLU(k - i - j + 101)],YES
c08,[ReLU(2*i - j)],YES
ex3a,[ReLU(100 - x)],YES
ex3b,[ReLU(y - x)],YES
javaAG313,[ReLU(x)],YES
javaBreak,[ReLU(11 - i)],YES
javaContinue1,[ReLU(20 - i)],YES
javaNested,"[ReLU(10 - i), ReLU(12 - j)]",YES
DynamiteEx2Vars,"[ReLU(n - 2*a + 1), ReLU(m - 2*b + 1)]",YES
B4BitCounterPointer,"[ReLU(1 - d), ReLU(4 - c), ReLU(2 - b), ReLU(1 - a)]",YES
McCarthy91Iteration,"[ReLU(10 * c - n + 91), ReLU(c)]",YES
Piecewise,[ReLU(q) + ReLU(p) - ReLU(q - p) - ReLU(p - q)],YES
ToulouseBranchesToLoop2,"[ReLU(100 + 100*x - y), ReLU(100 - 100*x - z)]",YES
Ps3botht,"[ReLU(k - c - 6*x + 1), ReLU(1000 - y)]",YES
Sqrt1botht,"[ReLU(k + 4 - 2 * t - c), ReLU(k - a)]",YES
LogAG,"[ReLU(x - 1), ReLU(x1 - 1)]",YES
PodelskiRybalchenkoLICS2004Fig1,"[ReLU(x + 1), ReLU(x + 1 - y)]",YES
Hard2botht,"[ReLU(d + p), ReLU(2*a - b - q - r)]",YES
Binomial,"[ ReLU(x + 1 - n), ReLU(x + 1 - k), ReLU(t) ]",YES
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1,"[ReLU(z - y), ReLU(x + z)]",YES
GCD3,"[ReLU(y), ReLU(x1)]",YES
