caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
a09assume#loop,[ReLU(2147483647 - z) + ReLU(y - 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a10#loop,[ReLU(x - y) + ReLU(y - x)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b01#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b02#loop,[x - y],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b03noinvassume#loop,[ReLU(2147483647 - x - y) + ReLU(x - y - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1073741824,
  ""y"": 1073741823
}",Checker completed: candidate function could not prove termination.
b03assume#loop,[ReLU(2147483647 - x - y) + ReLU(x - y - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1073741824,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b04#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b05#loop,[ReLU(x) + ReLU(1073741824 - t) + ReLU(t + 1073741824) + ReLU(2*t - x) + ReLU(x - 2*t)],COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""t1"": 1073741822
}",Checker completed: candidate function could not prove termination.
b06#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b07#loop,[ ReLU(x - z) + ReLU(y - z) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b09noinvassume#loop,[ReLU(x) + ReLU(y - x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 2
}",Checker completed: candidate function could not prove termination.
b09assume#loop,[ ReLU(y) + ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b10#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b11#loop,[ ReLU(2147483647 - x - y) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1073741823,
  ""y"": 1073741823
}",Checker completed: candidate function could not prove termination.
b12#loop,[ ReLU(x) + ReLU(y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b13#loop,[ ReLU(x - z) + ReLU(y - z) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b14#loop,[ReLU(x) + ReLU(y) + ReLU(c)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
b15#loop,"[ReLU(x - z) + ReLU(y - z), ReLU(x - y) + ReLU(y - x)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b16#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b17#loop,"[ ReLU(x - z) , ReLU(y - z) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
b18#loop,"[ReLU(x) + ReLU(y), ReLU(x - y) + ReLU(y - x)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
c01noinv#loop,[ ReLU(x) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
c01assume#loop,"[ReLU(x) + ReLU(y - 1), ReLU(x - y) + ReLU(1073741824 - y)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
c02#loop,"[ReLU(2147483647 - x), ReLU(x - y)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
c03#loop,"[ReLU(y - x) + ReLU(2147483647 - z - 1), ReLU(z - x)]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
c07#loop,"[ReLU(100 - i) + ReLU(k - j), ReLU(k + 1)]",COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""i"": 99,
  ""j"": 98,
  ""k"": 98
}",Checker completed: candidate function could not prove termination.
c08#loop,[ ReLU(i) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0
}",Checker completed: candidate function could not prove termination.
ex3a#loop,[ReLU(100 - x) + ReLU(x - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
ex3b#loop,[ReLU(y - x) + ReLU(x - 1) + ReLU(46340 - y)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 34816
}",Checker completed: candidate function could not prove termination.
javaAG313#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
javaBreak#loop,[ ReLU(10 - i) ],COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
javaContinue1#loop,[ReLU(20 - i) + ReLU(10 - c)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
javaNested#loop,"[ReLU(10 - i), ReLU(12 - j)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
