caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
Gothenburg1#loop,[ReLU(x) + ReLU(y)],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Gothenburgv21#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LobnyaBooleanReordered2#loop,[ReLU(b) + ReLU(-b)],COMPLETED,NOT_PROVED,NO,"{
  ""b"": 0,
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
McCarthy91Iteration#loop,[ ReLU(c) ],COMPLETED,NOT_PROVED,NO,"{
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
MenloPark#loop,[ReLU(x) + ReLU(y) + ReLU(z)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
Mysore2#loop,"[ReLU(-x - c), ReLU(c - 2)]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 2,
  ""x"": 2
}",Checker completed: candidate function could not prove termination.
Nyala2lex2#loop,"[ReLU(x) + ReLU(y), ReLU(n - y) + ReLU(y)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Parallel#loop,[ ReLU(x) + ReLU(y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Piecewise#loop,[ReLU(q) + ReLU(p)],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Pure2Phase1#loop,"[ReLU(z), ReLU(y)]",COMPLETED,NOT_PROVED,NO,"{
  ""y"": 1,
  ""z"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
Pure3Phase1#loop,"[ReLU(x), ReLU(z)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Singapore2#loop,"[ReLU(65535 - x) + ReLU(65535 - y), ReLU(x)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 65536,
  ""y"": 65537
}",Checker completed: candidate function could not prove termination.
Stockholm1#loop,[ ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
TelAvivAmirMinimum#loop,[ ReLU(x) + ReLU(y) ],COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Thun2#loop,"[ReLU(x), ReLU(-x - 1)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
ToulouseBranchesToLoop2#loop,[ ReLU(100 - y) + ReLU(100 - z) ],COMPLETED,NOT_PROVED,NO,"{
  ""y"": 0,
  ""z"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
ToulouseMultiBranchesToLoop2#loop,[ ReLU(100 - y) + ReLU(100 - z) ],COMPLETED,NOT_PROVED,NO,"{
  ""y"": 0,
  ""z"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
Waldkirch#loop,[x],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
WhileFalse#loop,NO_RELU_SOLUTION,COMPLETED,PROVED,YES,,Checker completed: termination was proven.
easy1#loop,[ReLU(40 - x)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
easy22#loop,[ReLU(z)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Bresenham1botht#loop,[2*ReLU(Y - x) + ReLU(X - y) + ReLU(v - c) + ReLU(k - (2*Y*x - 2*X*y - X + 2*Y - v + c))],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Cohencu1botht#loop,[ ReLU(k - 6*n - 6) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 12,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Cohencu2botht#loop,[ ReLU(k - 3*n*n - 3*n - 1) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu3botht#loop,[ ReLU(k - n*n*n) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 2,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Cohencu4botht#loop,[ReLU(-y*z + 18*x + 12*y - 2*z + 6 - c + k)],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Cohencu5botht#loop,[ ReLU(k - (z*z - 12*y - 6*z + 12 + c)) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Cohencu6botht#loop,[ ReLU(a - n) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Cohencu7botht#loop,[ReLU((a+1)*(a+1)*(a+1) - x - y)],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Dijkstra1botht#loop,"[ReLU(4*q - n - 1) + ReLU(n - q + 1), ReLU(r - 2*p - q + 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Dijkstra2botht#loop,[ ReLU(q - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
Dijkstra3botht#loop,[ReLU(n - q) + ReLU(q - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra4botht#loop,"[ReLU(q - 1), ReLU(n - q + 1)]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra5botht#loop,[ ReLU(q - 4*n) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra6botht#loop,[ ReLU(n - q) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Egcdbotht#loop,[ReLU(a) + ReLU(b)],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""x"": 16,
  ""y"": 16
}",Checker completed: candidate function could not prove termination.
Egcd2botht#loop,[ ReLU(b) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""temp"": 0,
  ""s"": 1,
  ""c"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Egcd3botht#loop,"[ReLU(b) + ReLU(c - 2*b) + ReLU(2*b - c), ReLU(c - b) + ReLU(b - c)]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""c"": 0,
  ""d"": 0,
  ""v"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Fermat1botht#loop,[ ReLU(2*kk - 2*u*u + 2*v*v + 4*u - 4*v + 8*A + 8*r - 2*cc) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Freire1botht#loop,[ReLU(k - (r * r - a - r + 2 * x + c))],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 1,
  ""r"": 0,
  ""c"": 0,
  ""x"": 0,
  ""k"": 3
}",Checker completed: candidate function could not prove termination.
Geo1botht#loop,[ ReLU(k - (x*z - x - y + 1 + c)) ],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Geo2botht#loop,[ ReLU(k - 1 - x*z + x + z*y - c) ],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Geo3botht#loop,[ReLU(k - (z * x - x + a - a * z * y + c))],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Hardbotht#loop,"[ReLU(b * p - r), ReLU(a - q * b - r + p - 1)]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Hard2botht#loop,"[ReLU(b*p - d + r - d), ReLU(q*b + r - a + p - 1)]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Lcm2botht#loop,"[ReLU(x-y)+ReLU(y-x), ReLU(x)+ReLU(y)]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 12,
  ""b"": 10,
  ""u"": 0,
  ""v"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Mannadivbotht#loop,[ ReLU(c - a*y - b) ],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Prod4brbotht#loop,[ ReLU(a) + ReLU(b) ],COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Prodbinbotht#loop,[ ReLU(y) ],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
Ps2botht#loop,[ ReLU(k - c - y*y + 2*x - y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps3botht#loop,[ ReLU(k - c - 6*x + 2*y*y*y + 3*y*y + y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps4botht#loop,[ReLU(k - c - 4*x + y*y*y*y + 2*y*y*y + y*y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps5botht#loop,[ ReLU(k - c - 6*y*y*y*y*y - 15*y*y*y*y - 10*y*y*y + 30*x + y) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps6botht#loop,[ ReLU(k - c + 2*y*y*y*y*y*y + 6*y*y*y*y*y + 5*y*y*y*y - y*y - 12*x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Sqrt1botht#loop,[ ReLU(k - (t*t - 4*s + 2*t + 1 + c)) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Binomial#loop,[ ReLU(x - n) + ReLU(x - k) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
Parts#loop,"[ReLU(x - p) + ReLU(x - q), ReLU(t)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
javaLogBuiltIn#loop,[ReLU(x - 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
reccounter1#loop,[ReLU(x - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
reccounter3#loop,"[ReLU(x - a) + ReLU(a - x), ReLU(r - rc) + ReLU(rc - r)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
DivMinus#loop,[ReLU(x) + ReLU(-y) + ReLU(y - 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
DivMinus2#loop,[ ReLU(x - y) + ReLU(y - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 2
}",Checker completed: candidate function could not prove termination.
GCD3#loop,[ReLU(x) + ReLU(y)],COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""x1"": 0
}",Checker completed: candidate function could not prove termination.
GCD4#loop,[ReLU(y) + ReLU(x)],COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""x1"": 0
}",Checker completed: candidate function could not prove termination.
IntPath#loop,[ReLU(1 - x) + ReLU(1 - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Log#loop,"[ReLU(x - 1), ReLU(x1 - 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LogAG#loop,"[ReLU(x-1), ReLU(x1-1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
