caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
Dijkstra4botht#loop,"[ ReLU(h - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra5botht#loop,"[ ReLU(h - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra6botht#loop,"[ ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Egcdbotht#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""x"": 15,
  ""y"": 5
}",Checker completed: candidate function could not prove termination.
Egcd2botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(c - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""temp"": 0,
  ""s"": 1,
  ""c"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Egcd3botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(p - 1), ReLU(q - 1), ReLU(r - 1), ReLU(s - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""c"": 0,
  ""d"": 0,
  ""v"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Fermat1botht#loop,"[ ReLU(u - 1), ReLU(v - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""cc"": 0,
  ""kk"": 0,
  ""A"": 0,
  ""R"": 1,
  ""r"": 0,
  ""c"": 0,
  ""u"": 0,
  ""v"": 1,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Freire1botht#loop,"[ ReLU(x - 1), ReLU(r - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""r"": 0,
  ""c"": 0,
  ""x"": 0,
  ""k"": 12
}",Checker completed: candidate function could not prove termination.
Geo1botht#loop,[ ReLU(ReLU(z - 1) + ReLU(x - 1) + ReLU(y - 1) + ReLU(c - 1)) ],ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Geo2botht#loop,"[ ReLU(1 + x * z - x - z * y + c - k + 1), ReLU(c + 1 - c), ReLU(x * z + 1 - x), ReLU(y * z - y) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Geo3botht#loop,"[ ReLU(z - 1), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
Hardbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(r - 1), ReLU(d - 1), ReLU(p - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Hard2botht#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 1,
  ""r"": 0,
  ""d"": 1
}",Checker completed: candidate function could not prove termination.
Lcm2botht#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(u - 1), ReLU(v - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 1,
  ""u"": 0,
  ""v"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Mannadivbotht#loop,"[ ReLU(x), ReLU(y - 1), ReLU(c - x) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 2,
  ""y"": 4
}",Checker completed: candidate function could not prove termination.
Prod4brbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(p + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Prodbinbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
Ps2botht#loop,"[ ReLU(k - (c + y * y - 2 * x + y)), ReLU(x - y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps3botht#loop,"[ ReLU(c + 6 * x - 2 * y * y * y - 3 * y * y - y - k + 1), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps4botht#loop,"[ ReLU(k + 4 * x - y * y * y * y - 2 * y * y * y - y * y + 1), ReLU(c + 1), ReLU(y + 1), ReLU(y * y * y + x) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Ps5botht#loop,"[ ReLU(c + 1), ReLU(y + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Ps6botht#loop,"[ ReLU(c + 1), ReLU(y + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 0,
  ""x"": 0,
  ""y"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Sqrt1botht#loop,"[ ReLU(n - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""s"": 1,
  ""c"": 0,
  ""t"": 1,
  ""k"": 4,
  ""n"": 7
}",Checker completed: candidate function could not prove termination.
